Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP;
01/01/2020;8766,4;8846,2;8765,9;8845,2;70,17;58330;76,14;8386,53;7872,61;8782,63;62,57;
02/01/2020;8799,4;8845;8716,9;8824,3;71,07;96768;73,47;8403,7;7882,08;8802,21;22,09;
05/01/2020;8757;8830,6;8706,4;8824,1;73,74;81432;73,44;8420,18;7891,45;8808,42;15,68;
06/01/2020;8851,8;8876,1;8817,7;8855,7;71,27;79280;74,98;8437,26;7901,05;8818,64;37,06;
07/01/2020;8795,8;8931,5;8791,8;8931,5;79,04;89836;78,24;8456,64;7911,3;8840,85;90,65;
08/01/2020;8943,9;9004;8936,7;8982,5;80,81;76128;80,11;8477,27;7921,96;8861,1;121,4;
09/01/2020;9019,9;9037,9;8972,7;8985,4;81,24;63868;80,22;8497,19;7932,54;8874,41;110,99;
12/01/2020;8993,4;9062,2;8988,4;9056,9;82,39;58128;82,64;8519,14;7943,73;8890,62;166,28;
13/01/2020;9071,4;9080,5;9020,2;9045,3;84,54;82244;80,91;8539,78;7954,69;8907,88;137,42;
14/01/2020;9029,2;9080,2;9024,5;9044,9;86,56;73952;80,85;8559,58;7965,54;8920,38;124,52;
15/01/2020;9066,8;9103,9;9061,8;9091,9;86,2;59620;82,56;8580,46;7976,75;8932,13;159,77;
16/01/2020;9126,6;9172,2;9117,6;9147,2;87,49;52966;84,33;8602,68;7988,39;8944,46;202,74;
19/01/2020;9166,5;9167,2;9147,2;9163,4;80,74;22298;84,82;8624,67;8000,08;8949,63;213,77;
20/01/2020;9109;9187,7;9102,1;9160,1;82,96;71222;84,25;8645,67;8011,63;8964,37;195,73;
21/01/2020;9221,4;9241;9199,8;9216,5;79,06;60500;86;8668,06;8023,62;8978,53;237,97;
22/01/2020;9168,2;9215,9;9139,7;9215,7;75,39;79124;85,85;8689,53;8035,48;8994,75;220,95;
23/01/2020;9256,1;9275,3;9100,1;9144,3;79,03;83862;73,84;8707,37;8046,51;9004,86;139,44;
26/01/2020;9020,2;9044,4;8917,2;8969,7;91,08;120788;53,96;8717,65;8055,7;9001,74;-32,04;
27/01/2020;9029,8;9109;8964,3;9103;91,44;94706;62,31;8732,77;8066,12;9008,33;94,67;
28/01/2020;9122,2;9151,1;9066,2;9138,7;92,32;61010;64,18;8748,68;8076,79;9013,57;125,13;
29/01/2020;9041,6;9108,9;8995,4;9090,3;97,9;97915;59,84;8762,08;8086,87;9018,23;72,07;
30/01/2020;9213;9214,5;8990,9;9018,6;108,39;124571;54,01;8772,14;8096,15;9018,25;0,35;
02/02/2020;9051,6;9149,7;9019,4;9119,9;113,44;107237;59,95;8785,78;8106,33;9065,46;54,44;
03/02/2020;9185,8;9346,7;9162,8;9342,7;125,66;92897;69,32;8807,62;8118,63;9144,78;197,92;
04/02/2020;9327,9;9455,6;9311,9;9377,7;131,71;114930;70,49;8829,97;8131,16;9205,67;172,03;
05/02/2020;9427,5;9444,8;9353,8;9424,3;132,48;100349;72,02;8853,28;8144,03;9246,3;178;
06/02/2020;9450,6;9453,9;9375,7;9406;136,64;96323;70,48;8874,96;8156,59;9270,47;135,53;
09/02/2020;9421,1;9484,4;9369,8;9484,4;138,71;84462;73,13;8898,86;8169,8;9295,54;188,86;
10/02/2020;9560,3;9600,2;9515,8;9526,3;141,2;89360;74,46;8923,46;8183,3;9321;205,3;
11/02/2020;9552,7;9610,8;9545,3;9598,6;141,75;76669;76,6;8949,94;8197,38;9345;253,6;
12/02/2020;9564,6;9635,8;9501,3;9625,6;138,84;100245;77,36;8976,43;8211,59;9373,5;252,1;
13/02/2020;9629;9640,3;9582,3;9606,4;126,76;78522;75,47;9001,14;8225,47;9390,66;215,74;
16/02/2020;9667,6;9673,6;9646,8;9658,3;121,23;28348;77,1;9026,91;8239,73;9397,59;260,71;
17/02/2020;9558,7;9639,7;9525,4;9636,2;124,66;90372;74,83;9050,8;8253,62;9415,8;220,4;
18/02/2020;9652,2;9738,5;9641,2;9731,2;121,73;64290;77,85;9077,49;8268,32;9432,04;299,16;
19/02/2020;9716,5;9733,7;9508,3;9611,9;121,86;103256;66,97;9098,44;8281,69;9445,78;166,12;
20/02/2020;9549,6;9596,4;9403,1;9437,1;127,41;112960;54,88;9111,72;8293,19;9445,11;-8,01;
23/02/2020;9281;9284,3;9035;9157,4;139,93;153561;41,85;9113,52;8301,79;9417,81;-260,41;
24/02/2020;9213;9216,5;8816,6;8885,2;158,23;155371;33,51;9104,56;8307,59;9371,16;-485,96;
25/02/2020;8868,8;9031,8;8703,5;8857,7;175,18;171222;32,8;9094,88;8313,07;9325,95;-468,25;
26/02/2020;8765,2;8838,2;8514,1;8587,2;194,14;170765;26,78;9074,97;8315,79;9266,33;-679,13;
27/02/2020;8258;8491,9;8124,6;8324,2;218,99;193876;22,47;9045,53;8315,88;9187,24;-863,04;
01/03/2020;8497,1;8735,1;8362,8;8613,3;240,07;187086;34,89;9028,58;8318,84;8466,17;147,13;
02/03/2020;8802,7;9000,4;8511,6;8612,3;268,95;180219;34,87;9012,26;8321,76;8513,1;99,2;
03/03/2020;8703;8865,3;8666,5;8832,6;277,41;153902;42,94;9005,21;8326,84;8581,86;250,74;
04/03/2020;8836,2;8868,7;8654,3;8682,7;288,59;158392;39,37;8992,56;8330,38;8600,15;82,55;
05/03/2020;8556,4;8595;8314,1;8344,6;310,11;174697;32,74;8967,15;8330,52;8557,56;-212,96;
08/03/2020;8094,8;8244,3;7823;7957,2;337,88;87821;27,11;8927,55;8326,81;8511,15;-553,95;
09/03/2020;8259,7;8367,7;7939,4;8362,5;361,16;160018;38,94;8905,39;8327,16;8492,79;-130,29;
10/03/2020;8116,6;8252,3;7898,6;8003,1;378,2;163130;33,72;8870;8323,94;8438,05;-434,95;
11/03/2020;7675,9;7815,2;7259,2;7273,1;416,42;129383;26,07;8807,38;8313,48;8343,16;-1070,06;
12/03/2020;7389,7;7966,1;7296,7;7955,7;437,2;116495;39,82;8773,98;8309,92;8316,69;-360,99;
15/03/2020;7094,9;7565,4;6930,9;6960,2;481,84;88124;30,82;8702,85;8296,49;8250,02;-1289,82;
16/03/2020;7302,1;7554,8;6953,9;7460,4;501,31;137506;38,36;8654,13;8288,17;8193,79;-733,39;
17/03/2020;7051,3;7339,3;6823,4;7211,2;522,26;93734;36,24;8597,54;8277,46;8148,29;-937,09;
18/03/2020;7129,9;7518,7;7029,3;7279,8;524,18;144758;37,26;8545,87;8267,53;8090,33;-810,53;
19/03/2020;7487,9;7646;6969,6;6984,6;543,14;142292;34,68;8484,64;8254,76;8022,26;-1037,66;
22/03/2020;6789;7327,5;6737,5;7014;550,37;166272;35,16;8426,97;8242,42;7954,6;-940,6;
23/03/2020;7298;7540,2;7240,4;7530,1;569,89;148827;43,11;8391,8;8235,33;7930,55;-400,45;
24/03/2020;7553,4;7768,5;7381,3;7452,7;582,23;177790;42,28;8354,97;8227,54;7900,25;-447,55;
25/03/2020;7390;7910,5;7325;7896,5;597,72;161954;48,46;8336,99;8224,25;7900,05;-3,55;
26/03/2020;7781,8;7818;7578,3;7587,7;583,19;157742;44,86;8307,61;8217,92;7884,28;-296,58;
29/03/2020;7618,8;7900,3;7509,3;7880,8;580,53;153012;48,75;8290,87;8214,56;7884,11;-3,31;
30/03/2020;7918,8;8010,8;7763,5;7798,9;565,06;158753;47,74;8271,58;8210,43;7880,18;-81,28;
31/03/2020;7611,1;7700,2;7422;7490,4;538,84;151094;44,02;8240,94;8203,26;7490,4;0;
