Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
02/02/2020;3242,6;3268,3;3233,3;3251,8;33,06;23848;47,85;3220,25;3043,71;3240,17;11,63
03/02/2020;3272,1;3306,5;3265,4;3303,8;35,53;16602;58,4;3223,53;3046,29;3254,96;48,84
04/02/2020;3294,3;3334,1;3292;3333,6;37,2;24672;63,01;3227,84;3049,15;3275,16;58,44
05/02/2020;3350,6;3354,8;3333,9;3343,7;37,29;17672;64,45;3232,39;3052,08;3285,81;57,89
06/02/2020;3347,6;3348,1;3322;3329;38,59;20702;60,75;3236,18;3054,84;3292,46;36,54
09/02/2020;3332,4;3343,4;3315,9;3343,4;38,89;15082;62,99;3240,38;3057,71;3297,6;45,8
10/02/2020;3363,1;3375,6;3355,9;3360,6;40,07;12936;65,53;3245,1;3060,72;3302,61;57,99
11/02/2020;3366,6;3378,2;3364,8;3376,9;39,41;10614;67,78;3250,26;3063,87;3307,17;69,73
12/02/2020;3365,8;3384,5;3348;3382;37,97;16582;68,48;3255,43;3067,04;3313,71;68,29
13/02/2020;3382,3;3385,5;3365,5;3372,5;35,16;10798;65,64;3260,02;3070,08;3316,88;55,62
16/02/2020;3389,1;3390,4;3385,2;3388,2;33,33;2862;68;3265,05;3073,24;3317,88;70,32
17/02/2020;3369,9;3374,3;3355,5;3372,5;34,09;14182;63,31;3269,26;3076,22;3321,44;51,06
